# Titles of the Catalog of Hittite Texts (CTH), one line per catalogue entry.
# S. Košak – G.G.W. Müller – S. Görke – Ch.W. Steitler, 2001–2026, Hethitologie-Portal Mainz.
# Licensed CC BY-SA 4.0, https://creativecommons.org/licenses/by-sa/4.0/ – see CTH-TITLES-TERMS.txt.
# Written by `cargo run --locked --release -p aruna --example cth_titles`; do not edit by hand.
# source: https://hethport.net/CTH/index.php?lang=EN
# fetched: 2026-09-22 04:54:05 UTC
# sha256: 31310a4e8dcd81140fa33f3a89bb820d05d48ca3c591c5fd4e74ef453ff2db86
# entries: 837
CTH 318	unassigned	
CTH 319	unassigned	
CTH 320	unassigned	
CTH 321	title	Illuyanka myth
CTH 322	title	Myth of Telipinu and the daughter of the sea
CTH 323	title	Myth of the disappearance and return of the Sun-god
CTH 324	title	Myth of Telipinu
CTH 325	title	Myth of the disappearance and return of the Storm-god
CTH 326	title	Myth of the disappearance and return of the Storm-god of Ašmunikkal
CTH 327	title	Myth of the disappearance and return of the Storm-god of Ḫarapšili
CTH 328	title	Myth of the disappearance and return of the Storm-god of the scribe Pirwa
CTH 329	unassigned	
CTH 330	title	Ritual for the Storm-god of Kuliwišna
CTH 331	title	Myth of the Storm-god in Liḫzina
CTH 332	title	Myth of the disappearance and return of the Storm-god: mugawar fragments
CTH 333	title	Myth of the disappearance and return of Anzili and Zukki
CTH 334	title	Myth of the disappearance and return of Ḫannaḫanna (DINGIR.MAḪ)
CTH 335	title	Fragments of myths of disappearing and returning deities
CTH 336	title	Myths of Inara (<sup>D</sup>KAL)
CTH 337	title	Fragments of myths referring to Pirwa
CTH 338	title	Lord of the Tongue: myth and ritual
CTH 339	title	Myths of the Sun-god and the Ilaliyant-gods
CTH 340	unassigned	
CTH 341	title	Gilgameš (.I Akkadian, .II Hurrian, III. Hittite)
CTH 342	title	Elkunirša and Ašertu
CTH 343	title	Myth of kingship of the deity <sup>D</sup>KAL
CTH 344	title	Song of Emergence (Kingship in Heaven, Theogony)
CTH 345	title	Song of Ullikummi (.I Hittite, II. Hurrian)
CTH 346	title	Fragments of the myth of Kumarbi
CTH 347	title	Atramḫasis
CTH 348	title	Song of Ḫedammu (.I Hittite, II. Hurrian)
CTH 349	title	Cycle of Teššup
